config_id,config_hash,checkpoint_hash,random_seed,MAX_NODES,MAX_HEIGHT,init_pop_method,max_iterations,pop_size,tourn_size,cxpb,mutpb,constants_range_json,ELITE_SIZE,LOG_METRICS_EVERY,hof_size,best_train_r2,best_test_r2,best_train_huber_loss,best_train_adj_r2,best_test_adj_r2,best_train_smape,best_test_smape,best_train_mae,best_test_mae,best_num_nodes,best_height,best_expression,hof_csv,population_csv,checkpoint_path,reached_target,stop_reason
beam_grid_0204,c6a3c006b0,21f131550c,42,400,30,oblesa,100,2000,150,0.7,0.45,"[-50.0, 50.0]",5,100,50,0.6186371961786613,0.6098526041543785,0.0161293220325511,0.6182484262852926,0.6082567375190573,0.2889183920300546,0.2914798316407351,0.1399063268282141,0.1407734043506439,291.0,27.0,"log(sqrt(log(add(add(add(add(mul(div(X8, X11), sqrt(div(mul(X1, mul(sqrt(identity(sqrt(mul(div(X1, X8), sqrt(div(29.342193022361897, sq2(add(sqrt(mul(sq2(sub(add(sub(X7, X10), mul(X16, X2)), sqrt(identity(X14)))), X4)), sq3(sub(X11, X0)))))))))), 14.185678860088018)), exp(sqrt(X3))))), sqrt(14.185678860088018)), div(mul(log(X8), sqrt(mul(X12, mul(sqrt(identity(sqrt(mul(div(X8, sqrt(mul(X12, sq2(add(sqrt(X2), sq3(sub(X10, X1))))))), sqrt(div(29.342193022361897, sq2(add(sqrt(mul(sqrt(mul(sq2(sub(add(sub(X5, X10), mul(X16, X2)), sqrt(identity(X12)))), X2)), X12)), sqrt(div(X12, identity(X1))))))))))), div(mul(mul(X14, 14.185678860088018), sqrt(mul(add(add(div(29.342193022361897, sq2(add(sqrt(mul(sqrt(div(X12, X0)), X4)), sq3(sub(X10, X0))))), sub(mul(X14, 14.185678860088018), X7)), div(mul(log(X8), mul(X14, 14.185678860088018)), X1)), mul(X14, 14.185678860088018)))), X1))))), X1)), mul(div(div(X8, sq2(add(X2, sq3(sub(sqrt(div(29.342193022361897, sq2(add(X10, sqrt(mul(div(X4, X11), sqrt(div(29.342193022361897, sq2(X11))))))))), X0))))), X11), sqrt(div(29.342193022361897, sq2(X3))))), mul(div(mul(log(add(add(div(mul(log(X8), sqrt(mul(X12, mul(sqrt(identity(sqrt(mul(div(X8, sqrt(mul(mul(X2, X4), X4))), sqrt(div(29.342193022361897, sq2(add(sqrt(mul(X2, X4)), sq3(sub(X10, X0)))))))))), 14.185678860088018)))), X1), div(mul(X2, X4), add(add(exp(sq2(sq3(X15))), mul(X1, mul(sqrt(identity(sqrt(mul(div(X1, X8), sqrt(div(29.342193022361897, sq2(add(sqrt(mul(sq2(sub(X2, X0)), X4)), sq3(sub(X11, X0)))))))))), 14.185678860088018))), X6))), div(X8, sq2(add(div(29.342193022361897, sq2(add(sqrt(mul(X1, X4)), X2))), sq3(sub(X2, X0))))))), sqrt(mul(sqrt(mul(X12, X4)), mul(X18, sqrt(X3))))), X11), sqrt(mul(X13, 29.342193022361897)))))))",results/exp_perf_beam_grid_search_0204_c6a3c006b0_hall_of_fame.csv,results/exp_perf_beam_grid_search_0204_c6a3c006b0_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_21f131550c.pkl,False,max_iterations
beam_grid_0043,f843f330a2,ea375f4780,42,400,30,oblesa,100,2000,120,0.6,0.7,"[-50.0, 50.0]",5,100,50,0.615203840101531,0.5932923753329702,0.0162745320668428,0.6148115701670921,0.5916287704096821,0.2860718281951784,0.2902578094788701,0.1383960754679145,0.141360552904397,399.0,28.0,"div(33.66093635559082, add(div(add(div(add(X1, add(X18, X11)), div(add(X7, add(div(add(div(sqrt(X8), X13), X3), 33.66093635559082), X4)), X12)), X11), X12), add(div(add(div(add(X11, div(add(sub(sq2(log(mul(X2, mul(X2, X2)))), sub(add(identity(X18), identity(X14)), add(X11, X1))), div(exp(X6), div(div(X4, X1), X1))), add(div(add(div(add(X11, add(sq3(identity(sub(exp(sq2(X14)), add(X5, X14)))), 24.181511105770994)), X14), add(sqrt(X13), identity(X14))), add(sq2(X18), X1)), mul(X4, X14)))), exp(X13)), add(add(div(add(add(X4, div(add(add(sub(sq2(identity(sq2(X13))), sub(add(identity(X18), identity(X14)), sub(X3, sub(sq2(X1), X3)))), div(exp(X6), div(div(log(X8), X1), X1))), div(exp(X6), div(div(log(X8), X1), X1))), add(div(add(div(add(X13, exp(X6)), exp(sub(div(X16, X3), identity(X7)))), X11), add(X9, X1)), X12))), add(add(X1, div(add(sub(sq2(log(mul(sub(sq2(mul(add(sub(sq2(log(mul(X2, X2))), sub(sq3(X11), add(X11, add(sq3(identity(log(X4))), sq2(X14))))), div(X13, div(div(X4, X1), X1))), identity(X4))), exp(sub(div(X16, X3), identity(X7)))), X12))), sub(add(X5, identity(X14)), sub(log(mul(X2, X12)), sub(sub(sqrt(sq3(X5)), add(add(X9, div(add(sub(sq2(identity(sq2(X13))), sub(add(identity(X18), identity(sub(X4, X8))), sub(X3, sub(sub(X9, X0), X18)))), div(exp(X6), div(div(log(X8), X1), X1))), add(div(add(div(add(sub(X1, X18), exp(X6)), exp(sub(X1, X10))), X0), add(X9, X1)), X12))), log(X0))), X18)))), div(exp(X6), div(div(X4, X1), X1))), add(div(add(div(add(X11, exp(X6)), X14), X0), X4), sq2(X14)))), X11)), div(add(div(add(exp(mul(identity(X17), sq3(X15))), X11), X12), add(div(add(div(add(X13, div(exp(X6), div(identity(X10), X1))), div(add(div(add(sub(X16, sub(X14, X18)), add(X18, X11)), div(add(X7, add(div(add(X16, X2), X1), X4)), X12)), X11), X12)), X3), X1), X4)), X12)), add(sub(div(exp(mul(X17, X18)), X12), X12), add(sub(div(X16, X3), identity(X7)), sub(div(exp(log(X0)), X12), X12)))), add(sub(div(exp(mul(X17, X18)), X12), X12), add(sq3(exp(mul(identity(X17), sq3(X15)))), sub(div(exp(X16), X4), X12))))), X12), 38.99438928323032)))",results/exp_perf_beam_grid_search_0043_f843f330a2_hall_of_fame.csv,results/exp_perf_beam_grid_search_0043_f843f330a2_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_ea375f4780.pkl,False,max_iterations
beam_grid_0243,b5af140a56,f85088e7f5,42,400,30,oblesa,100,3000,100,0.6,0.7,"[-50.0, 50.0]",5,100,50,0.6027060519676611,0.5772590719585133,0.0168031123255515,0.6023010415044883,0.5755298840935428,0.2972072404525964,0.3025405463861282,0.1390309701830581,0.1419527225498019,328.0,27.0,"sq2(exp(div(add(add(add(X1, X16), X9), identity(X15)), sub(sub(-42.5729163896396, X13), mul(sub(sub(sub(sub(sub(add(X13, X5), div(add(mul(sub(sub(X5, div(sq3(div(X1, X1)), sub(sub(-42.5729163896396, mul(X13, X4)), X13))), div(add(X1, mul(X13, X11)), sub(sub(-42.5729163896396, X12), mul(sub(X5, X16), X6)))), sqrt(mul(X9, X3))), sub(sub(sub(sub(add(X13, sub(sub(sub(sub(add(X13, X5), div(add(mul(sub(sub(X5, X7), sub(X5, X16)), sqrt(mul(X9, X3))), X1), sub(sub(X6, X6), mul(mul(X0, X2), X6)))), div(sq3(div(sqrt(sq2(sq3(add(X14, X1)))), exp(sq2(log(add(X11, X17)))))), sub(-42.5729163896396, mul(sub(sq3(X5), sq2(X15)), X6)))), div(add(sqrt(mul(mul(X13, X4), add(mul(X6, add(X4, X3)), X3))), sq3(log(X11))), sub(log(identity(sq3(X8))), mul(sub(X5, X16), X6)))), X2)), div(mul(X13, X4), sub(sub(X17, X6), mul(mul(X0, X2), X6)))), div(add(X4, X11), X4)), div(add(sqrt(mul(mul(X13, X4), add(sqrt(mul(X9, add(mul(sq2(X13), add(X9, X3)), X3))), X3))), sqrt(mul(X9, add(mul(sq2(X13), X16), X3)))), sub(sub(-42.5729163896396, X9), mul(sub(X5, X4), X6)))), X0)), sub(sub(X17, X6), mul(mul(X0, X2), X6)))), div(add(sqrt(mul(mul(X13, X4), add(mul(sqrt(identity(X18)), add(X15, X3)), X16))), X11), sub(sub(-42.5729163896396, mul(sub(sq3(mul(X0, X5)), sq2(X17)), X6)), mul(sub(sq3(mul(X0, X5)), sq2(X17)), X6)))), div(add(sqrt(mul(mul(X13, X4), add(mul(X9, add(X4, X3)), X3))), sqrt(mul(X9, mul(X14, X8)))), sub(sub(-42.5729163896396, mul(mul(X15, X10), X11)), mul(sub(X5, X16), X6)))), X17), div(add(exp(X14), add(add(add(X1, add(add(add(add(X9, add(-42.5729163896396, mul(X0, X4))), sub(X5, X6)), -42.5729163896396), mul(X0, X4))), X9), -42.5729163896396)), sub(sub(-42.5729163896396, X9), mul(X6, sub(X5, X6))))), sqrt(mul(X0, X12)))))))",results/exp_perf_beam_grid_search_0243_b5af140a56_hall_of_fame.csv,results/exp_perf_beam_grid_search_0243_b5af140a56_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_f85088e7f5.pkl,False,max_iterations
beam_grid_0015,30f258d004,8400960d9a,42,400,30,oblesa,100,2500,100,0.55,0.7,"[-50.0, 50.0]",5,100,50,0.6017783465987783,0.5860320291018166,0.016842348607895,0.6013723904117076,0.5843387263145043,0.3096094443936587,0.313602031418705,0.1434780957223068,0.144914563872581,393.0,30.0,"div(add(X13, add(X13, add(sq2(X14), 33.5638701915741))), add(div(log(sq3(sq2(exp(X1)))), add(div(sq3(div(add(div(sq3(X13), div(log(sq3(sq2(exp(exp(X15))))), add(div(sq3(X15), sq2(exp(X1))), add(div(add(X13, add(add(sq2(div(add(X13, add(X13, add(sq2(X4), 33.5638701915741))), div(log(sq3(sq2(exp(X1)))), add(div(sq3(identity(sqrt(X8))), sq2(exp(X1))), add(div(add(X1, add(identity(mul(sqrt(add(X4, X11)), sq2(sq3(div(mul(X15, X5), mul(X8, X8)))))), add(sq2(div(33.5638701915741, X2)), div(add(X3, add(33.5638701915741, X8)), sq2(X1))))), sq2(X1)), X14))))), 33.5638701915741), add(sq2(div(add(X3, add(X14, add(sq2(div(add(X2, X13), sq3(sq2(exp(X15))))), sq2(X6)))), sq2(add(div(sq3(X15), sq2(exp(X12))), add(div(add(X4, add(identity(mul(sqrt(add(X3, X11)), sq2(exp(X15)))), exp(X1))), sq2(sq3(sq2(div(X11, X1))))), X4))))), div(add(X3, add(X14, add(sq2(div(add(X3, X13), sq3(X2))), add(X14, add(sq2(div(add(X2, X13), sq3(sq2(exp(X15))))), sq2(X10)))))), sq2(X1))))), sq2(X1)), X4)))), add(div(add(X3, add(X14, add(sq2(div(add(X13, add(sq2(X4), add(sq2(X4), 33.5638701915741))), div(log(sq3(sq2(exp(X1)))), add(div(sq3(X5), sq2(exp(X1))), add(div(add(X1, add(identity(mul(sqrt(add(sq3(X2), identity(sq2(X1)))), sq2(sq3(div(mul(X0, X5), mul(add(sq3(sub(X0, X15)), identity(div(X14, X11))), X8)))))), add(sq2(div(X11, X2)), div(add(X3, sq2(exp(X15))), -5.0249086153734055)))), sq2(X1)), X14))))), 33.5638701915741))), sq2(X1)), X4)), X2)), sq2(X11)), X12)), add(div(X11, add(X13, add(X14, add(sq2(div(add(div(sq3(div(add(div(sq3(div(add(X3, add(X14, add(sq2(div(X16, sq3(add(X15, X1)))), 33.5638701915741))), sq3(X0))), sq2(add(sq2(sqrt(exp(add(X9, sub(add(X0, X7), sq3(X14)))))), add(sq2(X14), 33.5638701915741)))), add(div(add(X13, add(add(X12, X13), add(sq2(div(sq2(div(X11, sq3(sq2(div(X11, X1))))), sq2(exp(X12)))), 33.5638701915741))), sq2(X1)), X4)), X11)), sq2(X14)), 33.5638701915741), sq3(X2))), X13)))), add(div(log(sq3(sq2(exp(X1)))), add(div(X18, sq2(sq3(X2))), add(div(add(X13, add(X3, add(sq2(div(X11, sq3(sq2(sq3(sq2(div(X11, X1))))))), div(X10, 29.747253494898317)))), sq2(X1)), X4))), 47.12260961532593))))",results/exp_perf_beam_grid_search_0015_30f258d004_hall_of_fame.csv,results/exp_perf_beam_grid_search_0015_30f258d004_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_8400960d9a.pkl,False,max_iterations
beam_grid_0024,aeb9b9eaac,bd3985ae70,42,400,30,oblesa,100,2500,80,0.55,0.7,"[-50.0, 50.0]",5,100,50,0.5926679652659621,0.5641183943054227,0.0172276622066097,0.5922527217494933,0.5623354555523125,0.2936868082593396,0.3008482212233467,0.1420663337756549,0.1461593318926554,336.0,30.0,"div(33.5638701915741, add(div(X15, div(-17.16960956664412, X5)), add(add(log(add(div(mul(identity(div(X11, sqrt(X3))), add(X15, add(X7, mul(identity(div(X11, sqrt(X3))), add(X15, add(X16, add(add(div(mul(X1, X6), X1), add(add(div(mul(X15, X2), div(add(add(div(mul(X15, X2), add(div(mul(X15, X2), X3), add(X15, add(div(sq3(X17), div(mul(X15, X2), X2)), identity(div(33.5638701915741, X12)))))), X13), identity(div(mul(mul(sq2(identity(X8)), div(mul(X15, X2), X4)), mul(X10, X2)), add(X3, X5)))), X12)), add(div(add(add(div(mul(X15, X2), add(div(mul(X18, X2), X15), add(X15, add(div(sq3(X17), div(X2, X2)), identity(div(33.5638701915741, sub(exp(exp(X16)), sqrt(sq3(21.134716319091908))))))))), add(X15, X6)), identity(div(mul(mul(sq2(sq2(mul(X11, identity(sq3(X17))))), div(mul(X15, X2), X4)), mul(X10, X2)), add(X3, X5)))), div(X2, X2)), add(div(X13, div(X2, X2)), identity(div(33.5638701915741, X12))))), identity(div(add(X12, identity(div(mul(mul(sq2(sq2(mul(X11, identity(sq3(X17))))), div(mul(X15, X2), X4)), mul(add(X15, X6), X0)), add(X3, X5)))), X12)))), X12))))))), X4), X7)), identity(div(mul(X1, X6), X12))), add(X15, add(X7, add(add(div(mul(X1, X6), X4), add(div(mul(X1, log(add(add(div(sub(X8, sqrt(add(sq2(X3), X3))), X3), add(div(mul(X1, log(X2)), X4), identity(div(sq3(X10), X12)))), identity(div(mul(mul(mul(X2, add(add(div(mul(X10, X2), X4), mul(identity(div(mul(mul(sq2(sq2(mul(mul(X1, log(X2)), identity(sq3(X17))))), div(mul(X15, X2), X4)), mul(X15, X2)), X12)), mul(X1, X2))), identity(div(mul(mul(sq2(sq2(mul(X11, identity(sq3(X17))))), div(mul(X15, X2), X4)), mul(X10, X2)), X12)))), X16), mul(X15, div(mul(mul(X12, div(mul(X15, X2), X4)), mul(X10, mul(add(div(X8, X11), sq2(X12)), sq2(sqrt(X0))))), X3))), X1))))), X4), identity(div(sub(X11, X1), X12)))), 33.5638701915741))))))",results/exp_perf_beam_grid_search_0024_aeb9b9eaac_hall_of_fame.csv,results/exp_perf_beam_grid_search_0024_aeb9b9eaac_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_bd3985ae70.pkl,False,max_iterations
beam_grid_0184,72699f505d,c30f044d5d,42,400,30,oblesa,100,2000,120,0.7,0.45,"[-50.0, 50.0]",10,100,50,0.5871497515779944,0.5624514964727512,0.0174610490097426,0.5867288826693122,0.5606617394077312,0.2946331167839576,0.3006868708797418,0.1432992737663903,0.1465731272384636,298.0,23.0,"div(33.66093635559082, add(X15, add(add(add(add(log(add(sqrt(add(sqrt(exp(sqrt(X11))), mul(identity(X10), exp(sub(add(X1, X1), identity(X10)))))), div(div(34.71299350922621, exp(X18)), exp(X5)))), 33.66093635559082), log(X11)), log(add(add(log(div(34.71299350922621, exp(X18))), mul(X15, mul(mul(mul(mul(X17, X2), div(add(div(X1, X4), mul(div(div(34.71299350922621, X4), exp(X5)), add(sqrt(mul(mul(X17, X2), div(add(exp(sq3(log(add(X1, X1)))), mul(div(div(34.71299350922621, exp(X18)), exp(X5)), add(sqrt(add(X1, X1)), add(X12, X18)))), add(X5, X0)))), X18))), X4)), div(add(div(X1, sqrt(exp(sq3(log(add(X1, X1)))))), mul(X15, add(sqrt(add(sqrt(exp(sq3(log(X11)))), mul(X3, exp(sub(add(X1, X1), X4))))), log(div(mul(2.0805918516365125, X2), X4))))), X4)), X10))), mul(X15, mul(mul(mul(X16, add(div(sqrt(add(X1, mul(mul(mul(33.66093635559082, div(div(sq3(X1), exp(exp(X18))), exp(X18))), div(div(sq3(X1), exp(exp(X18))), exp(X18))), exp(sub(add(X1, X1), X4))))), exp(exp(X14))), mul(X1, mul(mul(mul(X17, X2), add(log(div(X4, X4)), mul(X15, mul(mul(log(add(X1, X1)), X1), X10)))), add(X1, mul(mul(div(div(34.71299350922621, exp(X18)), exp(X5)), add(sqrt(add(X1, X1)), add(sqrt(exp(sq3(log(add(X1, X1))))), X18))), add(sqrt(add(X1, X1)), add(sqrt(exp(sq3(log(add(X1, X1))))), X18)))))))), exp(sub(div(X4, exp(X18)), X4))), X2))))), log(add(div(X1, X4), mul(X15, mul(X15, add(sqrt(add(sqrt(exp(sq3(log(X11)))), mul(mul(mul(X1, div(div(sq3(X1), exp(exp(X18))), exp(X18))), div(div(sq3(X1), exp(exp(X18))), exp(X18))), exp(sub(add(X1, X1), X4))))), log(div(mul(2.0805918516365125, X2), X4))))))))))",results/exp_perf_beam_grid_search_0184_72699f505d_hall_of_fame.csv,results/exp_perf_beam_grid_search_0184_72699f505d_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_c30f044d5d.pkl,False,max_iterations
beam_grid_0152,5a3d0f55ec,3d425184d7,42,400,30,oblesa,100,2000,100,0.65,0.45,"[-50.0, 50.0]",10,100,50,0.5871128565064934,0.5551658508817319,0.0174626094463759,0.5866919499861383,0.5533462924676851,0.2942421023741197,0.299702413505539,0.1433269595422073,0.1469992269600593,363.0,27.0,"div(add(div(mul(log(sqrt(X6)), X4), X2), add(sqrt(X5), 33.66093635559082)), add(add(add(X1, 33.66093635559082), add(sqrt(sqrt(sq2(div(mul(X1, X11), mul(exp(sub(X12, X0)), add(sqrt(sqrt(sq2(div(33.66093635559082, X8)))), add(mul(X18, mul(sqrt(mul(sqrt(X15), add(add(add(mul(X18, mul(X15, add(mul(add(add(X1, 33.66093635559082), sqrt(X2)), add(X1, X17)), X15))), X15), add(add(sqrt(add(sqrt(X15), X15)), mul(X17, sqrt(mul(X15, add(mul(add(add(X1, 33.66093635559082), sqrt(X2)), add(X1, X17)), X17))))), mul(X15, add(mul(X18, add(sqrt(X5), add(sqrt(X5), 33.66093635559082))), X15)))), add(sqrt(X11), X2)))), add(mul(add(add(X1, 33.66093635559082), sqrt(X2)), add(X1, X17)), X15))), X15))))))), sqrt(sqrt(sq2(div(mul(X1, add(X1, 33.66093635559082)), mul(exp(sub(X12, X0)), exp(X13)))))))), add(add(sqrt(mul(X15, add(mul(X11, add(sqrt(identity(X10)), mul(X17, add(sqrt(mul(sqrt(sq2(div(mul(X11, mul(X0, add(mul(X15, add(mul(add(sqrt(X11), sqrt(X2)), sub(X12, div(X11, mul(exp(sub(X12, X0)), X4)))), X15)), add(sqrt(X5), 33.66093635559082)))), X8))), add(mul(X11, add(X16, add(add(sqrt(X0), 33.66093635559082), sqrt(sq2(div(X11, mul(exp(sub(X12, X0)), X4))))))), X15))), sq2(X6))))), add(add(sqrt(add(sqrt(mul(sq2(log(sq2(exp(div(identity(X0), sqrt(X11)))))), add(add(div(X7, exp(log(X3))), add(add(sqrt(add(sqrt(X15), X15)), mul(X17, sqrt(mul(X15, add(mul(add(add(X1, 33.66093635559082), sqrt(X2)), add(X1, X17)), X15))))), mul(X17, sqrt(mul(X15, add(mul(X18, add(sqrt(X5), add(sqrt(X5), 33.66093635559082))), X15)))))), add(sqrt(X11), sqrt(X2))))), X15)), mul(X17, sqrt(mul(X15, add(mul(add(sqrt(X11), sqrt(X2)), X7), X15))))), mul(X17, sqrt(mul(div(X12, mul(exp(sub(X12, X0)), exp(X13))), add(mul(add(sqrt(X11), sqrt(X2)), add(X1, 33.66093635559082)), X15)))))))), sqrt(sq2(div(mul(X1, X11), mul(exp(sub(X12, X0)), add(sqrt(X11), add(mul(X18, mul(X15, add(mul(add(add(X1, 33.66093635559082), sqrt(X2)), add(X1, X17)), X15))), X15))))))), sqrt(sq2(div(mul(X11, mul(X17, add(sqrt(sqrt(X11)), add(sqrt(X5), 33.66093635559082)))), X8))))))",results/exp_perf_beam_grid_search_0152_5a3d0f55ec_hall_of_fame.csv,results/exp_perf_beam_grid_search_0152_5a3d0f55ec_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_3d425184d7.pkl,False,max_iterations
beam_grid_0217,2f35f3fe80,be076d7a4f,42,400,30,oblesa,100,2500,100,0.6,0.8,"[-50.0, 50.0]",5,100,50,0.5868961853369323,0.5576034499100666,0.0174717733161451,0.5864750579370719,0.555793862299365,0.2987605735791335,0.3058363784372296,0.1453352657702977,0.1495939970878119,260.0,29.0,"div(33.5638701915741, add(identity(X7), add(div(X1, add(X4, mul(X9, div(X3, X11)))), add(sqrt(div(X1, X3)), add(X16, add(div(X11, add(X13, add(X13, X14))), add(div(X1, add(X5, identity(X12))), add(add(div(X1, add(X4, X4)), mul(sqrt(sqrt(sqrt(div(sqrt(X2), div(X1, add(add(X12, mul(X17, div(X2, add(div(X18, sqrt(X2)), X11)))), X16)))))), X15)), add(div(identity(X7), add(X4, X14)), add(div(X1, add(X4, mul(X12, div(X3, add(div(log(X0), X2), exp(X13)))))), add(div(X1, add(X4, mul(sq3(add(X7, X18)), div(X3, X0)))), add(div(X1, add(sq3(exp(identity(div(X5, add(add(div(X1, add(exp(sq3(X7)), X16)), mul(X11, X15)), X1))))), mul(X0, div(X3, add(sqrt(exp(sq2(X6))), exp(X5)))))), add(div(X1, add(sq3(exp(identity(div(X5, add(X6, X1))))), mul(sq3(add(X7, X18)), div(X3, log(identity(X12)))))), add(add(X15, X15), add(div(X1, add(X4, mul(mul(X18, add(X4, mul(mul(X18, exp(sqrt(X3))), div(X11, X8)))), div(X11, X8)))), add(div(X4, -29.31276458836125), add(div(X1, add(add(X4, X16), mul(X17, div(X3, add(div(add(identity(-29.31276458836125), X4), add(X4, mul(X8, X3))), 33.5638701915741))))), add(div(X1, add(X4, mul(X9, div(X3, add(div(X1, add(mul(sub(exp(div(-12.232067642138567, X10)), sq2(add(X15, X9))), identity(identity(div(X5, X6)))), X16)), mul(X0, X15)))))), add(div(add(identity(-29.31276458836125), X1), add(X4, mul(X17, div(identity(sq2(X3)), X0)))), 33.5638701915741)))))))))))))))))))",results/exp_perf_beam_grid_search_0217_2f35f3fe80_hall_of_fame.csv,results/exp_perf_beam_grid_search_0217_2f35f3fe80_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_be076d7a4f.pkl,False,max_iterations
beam_grid_0060,59a55c6086,28a779679b,42,400,30,oblesa,100,2500,60,0.55,0.7,"[-50.0, 50.0]",5,100,50,0.5861952474149965,0.5612296968581549,0.0175014187177271,0.5857734054631178,0.5594349421197922,0.2949668328385604,0.2989249421145926,0.1446428683916682,0.1469785846571563,220.0,30.0,"div(-29.04842048883438, add(add(add(add(add(add(add(-47.51586684307344, div(sub(add(add(add(X14, add(add(X13, div(sub(sub(X5, X5), log(exp(37.37762448268984))), sqrt(add(add(X5, div(sqrt(add(add(identity(sqrt(X13)), div(add(div(X16, log(X8)), div(X0, X17)), log(X8))), X14)), X10)), X13)))), div(sub(sub(X5, add(X16, -3.983537468335129)), X10), sqrt(add(add(X14, X13), sq2(sq2(X13))))))), div(sub(sub(X5, X1), X1), sqrt(add(add(X14, X9), sq2(X13))))), sqrt(X11)), X11), X12)), sq2(identity(sqrt(X13)))), add(sqrt(log(add(add(X0, X3), exp(X6)))), X14)), div(11.984692742345146, X1)), div(sub(sub(X5, X1), X1), sqrt(add(add(X10, div(add(div(add(add(X0, sq2(X17)), exp(X6)), sq2(sub(add(add(add(X14, add(add(X13, div(sub(sq2(X17), sqrt(X5)), sqrt(add(add(X8, div(sqrt(add(add(X5, div(add(div(X16, log(X8)), div(X0, X17)), log(X8))), X14)), X10)), X13)))), div(sub(sub(X5, add(X16, -3.983537468335129)), X10), sqrt(add(add(X14, X13), sq2(sq2(X13))))))), div(sub(sub(X5, X1), X1), sqrt(add(add(X14, X9), sq2(X13))))), sqrt(X11)), X11))), div(X0, X10)), X6)), sq2(div(add(add(identity(sub(add(X5, X5), sub(X11, X11))), X3), exp(X6)), sq2(exp(X6)))))))), identity(sqrt(log(X8)))), sq2(X17)))",results/exp_perf_beam_grid_search_0060_59a55c6086_hall_of_fame.csv,results/exp_perf_beam_grid_search_0060_59a55c6086_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_28a779679b.pkl,False,max_iterations
beam_grid_0166,1f7d06b2fb,6099fc6a46,42,400,30,oblesa,100,2000,100,0.7,0.45,"[-50.0, 50.0]",5,100,50,0.5861449803141839,0.5590407388182963,0.017503544709692,0.5857230871188823,0.5572370303226123,0.3015474416748385,0.3077232200198897,0.1458463787210979,0.1497588645564662,400.0,28.0,"div(add(X13, 33.66093635559082), add(mul(sqrt(sqrt(mul(X11, X15))), sqrt(X11)), add(sqrt(mul(log(mul(add(X7, add(X13, 33.66093635559082)), log(X3))), add(sqrt(mul(sqrt(mul(X16, mul(mul(sqrt(add(X18, mul(mul(add(X1, 33.66093635559082), X6), div(X1, X4)))), add(sqrt(log(mul(add(X18, add(X13, 33.66093635559082)), X6))), add(mul(mul(add(X1, 33.66093635559082), X6), div(exp(X0), X4)), sqrt(X13)))), mul(mul(X11, X6), mul(mul(mul(X1, X6), div(X1, X8)), sqrt(div(X2, X8))))))), mul(X0, sqrt(div(mul(mul(X11, X15), mul(mul(mul(add(X1, mul(X11, mul(X17, mul(mul(X11, X15), X4)))), X6), div(X1, X4)), sqrt(div(X2, X8)))), add(sq2(sq2(sub(mul(sub(X17, X18), X9), X18))), X6)))))), sqrt(mul(sqrt(add(mul(mul(X1, X7), div(X13, X8)), add(X13, 33.66093635559082))), mul(X11, mul(X17, mul(mul(X11, X15), mul(mul(mul(add(X1, 33.66093635559082), sq3(X0)), div(X1, X4)), sqrt(div(X2, X8))))))))))), add(sqrt(log(mul(add(X6, mul(mul(add(X18, add(X11, mul(mul(mul(mul(add(X18, add(X11, 33.66093635559082)), add(sqrt(log(mul(add(X13, add(X11, 33.66093635559082)), X6))), add(X1, sqrt(X6)))), mul(X11, mul(mul(mul(X1, X7), div(X1, X8)), sqrt(div(X2, X8))))), add(sqrt(log(mul(add(X18, add(sqrt(sq3(X6)), 33.66093635559082)), X6))), add(mul(mul(sqrt(add(X18, mul(mul(add(X1, 33.66093635559082), X6), div(mul(mul(add(sq2(X1), 33.66093635559082), log(sq2(sq2(exp(X0))))), div(X1, X4)), X4)))), add(sqrt(add(sqrt(X0), X3)), mul(X11, mul(X0, mul(mul(X11, X15), mul(mul(mul(X2, sq3(X0)), div(X1, X4)), sqrt(div(X2, X8)))))))), mul(mul(add(X18, add(sqrt(sq3(X6)), 33.66093635559082)), 33.66093635559082), sqrt(log(mul(add(X18, add(X13, 33.66093635559082)), X6))))), sqrt(X6)))), mul(X11, mul(mul(sqrt(X11), div(33.66093635559082, X8)), sqrt(div(mul(add(X1, 33.66093635559082), log(sq2(sq2(exp(add(X18, add(X13, 33.66093635559082))))))), X8))))))), add(sqrt(log(mul(add(X18, add(X13, 33.66093635559082)), X6))), add(X1, sqrt(X6)))), mul(X11, mul(mul(mul(X1, X7), div(X13, X8)), add(sqrt(X17), 33.66093635559082))))), X6))), add(sqrt(mul(mul(add(identity(X11), sqrt(mul(mul(mul(add(X13, 33.66093635559082), log(sq2(sq2(exp(exp(X0)))))), div(X1, X4)), div(mul(mul(X11, log(X1)), mul(mul(mul(X1, X10), div(33.66093635559082, X8)), sqrt(div(33.66093635559082, X8)))), X4)))), X6), div(X1, X4))), 33.66093635559082)))))",results/exp_perf_beam_grid_search_0166_1f7d06b2fb_hall_of_fame.csv,results/exp_perf_beam_grid_search_0166_1f7d06b2fb_final_population.csv,checkpoints/exp_perf_beam_grid_search_ckpt_6099fc6a46.pkl,False,max_iterations
